feature_names	SUPER_PATHWAY	SUB_PATHWAY	COMP_ID	PLATFORM	KEGG	HMDB
compid_1	Amino Acid	Polyamine Metabolism	1	LC/MS Pos Early	NA	NA
compid_2	Lipid	Phosphatidylcholine (PC)	2	LC/MS Pos Late	NA	HMDB2
compid_3	Lipid	Phosphatidylcholine (PC)	3	LC/MS Pos Late	NA	HMDB3
compid_4	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	4	LC/MS Neg	C07326	HMDB4
compid_5	Lipid	Lysoplasmalogen	5	LC/MS Pos Late	NA	NA
compid_6	Lipid	Plasmalogen	6	LC/MS Pos Late	NA	HMDB6
compid_7	Lipid	Plasmalogen	7	LC/MS Pos Late	NA	HMDB7
compid_8	Lipid	Plasmalogen	8	LC/MS Pos Late	NA	HMDB8
compid_9	Lipid	Plasmalogen	9	LC/MS Pos Late	NA	HMDB9
compid_10	Lipid	Plasmalogen	10	LC/MS Pos Late	NA	NA
compid_11	Lipid	Plasmalogen	11	LC/MS Pos Late	NA	HMDB11
compid_12	Lipid	Plasmalogen	12	LC/MS Pos Late	NA	HMDB12
compid_13	Lipid	Plasmalogen	13	LC/MS Pos Late	NA	HMDB13
compid_14	Lipid	Lysoplasmalogen	14	LC/MS Pos Late	NA	HMDB14
compid_15	Lipid	Lysoplasmalogen	15	LC/MS Pos Late	NA	NA
compid_16	Lipid	Plasmalogen	16	LC/MS Pos Late	NA	HMDB16
compid_17	Lipid	Plasmalogen	17	LC/MS Pos Late	NA	HMDB17
compid_18	Lipid	Plasmalogen	18	LC/MS Pos Late	NA	HMDB18
compid_19	Lipid	Lysoplasmalogen	19	LC/MS Pos Late	NA	NA
compid_20	Lipid	Lysophospholipid	20	LC/MS Pos Late	NA	NA
compid_21	Lipid	Lysophospholipid	21	LC/MS Pos Late	C05208	HMDB21
compid_22	Lipid	Lysophospholipid	22	LC/MS Pos Late	NA	HMDB22
compid_23	Lipid	Lysophospholipid	23	LC/MS Neg	NA	HMDB23
compid_24	Lipid	Monoacylglycerol	24	LC/MS Neg	C13857	HMDB24
compid_25	Lipid	Monoacylglycerol	25	LC/MS Neg	NA	NA
compid_26	Lipid	Monoacylglycerol	26	LC/MS Neg	NA	HMDB26
compid_27	Lipid	Lysophospholipid	27	LC/MS Pos Late	NA	HMDB27
compid_28	Lipid	Lysophospholipid	28	LC/MS Pos Late	NA	HMDB28
compid_29	Lipid	Monoacylglycerol	29	LC/MS Neg	NA	HMDB29
compid_30	Lipid	Phosphatidylcholine (PC)	30	LC/MS Pos Late	NA	HMDB30
compid_31	Lipid	Phosphatidylcholine (PC)	31	LC/MS Pos Late	NA	HMDB31
compid_32	Lipid	Lysophospholipid	32	LC/MS Pos Late	NA	HMDB32
compid_33	Lipid	Lysophospholipid	33	LC/MS Pos Late	C04100	HMDB33
compid_34	Lipid	Lysophospholipid	34	LC/MS Pos Late	NA	HMDB34
compid_35	Lipid	Lysophospholipid	35	LC/MS Neg	NA	NA
compid_36	Lipid	Lysophospholipid	36	LC/MS Neg	NA	NA
compid_37	Lipid	Monoacylglycerol	37	LC/MS Neg	NA	NA
compid_38	Lipid	Monoacylglycerol	38	LC/MS Neg	NA	NA
compid_39	Amino Acid	Histidine Metabolism	39	LC/MS Pos Early	C05828	HMDB39
compid_40	Amino Acid	Histidine Metabolism	40	LC/MS Neg	C01152	HMDB40
compid_41	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	41	LC/MS Pos Early	C02918	HMDB41
compid_42	Lipid	Phosphatidylcholine (PC)	42	LC/MS Pos Late	NA	HMDB42
compid_43	Lipid	Phosphatidylcholine (PC)	43	LC/MS Pos Late	NA	HMDB43
compid_44	Lipid	Monoacylglycerol	44	LC/MS Neg	C01885	HMDB44
compid_45	Lipid	Phosphatidylcholine (PC)	45	LC/MS Pos Late	NA	HMDB45
compid_46	Lipid	Phosphatidylethanolamine (PE)	46	LC/MS Pos Late	NA	HMDB46
compid_47	Lipid	Lysophospholipid	47	LC/MS Pos Late	NA	NA
compid_48	Lipid	Lysophospholipid	48	LC/MS Pos Late	NA	HMDB48
compid_49	Lipid	Lysophospholipid	49	LC/MS Pos Late	NA	HMDB49
compid_50	Lipid	Lysophospholipid	50	LC/MS Neg	NA	NA
compid_51	Lipid	Lysophospholipid	51	LC/MS Neg	NA	NA
compid_52	Lipid	Lysophospholipid	52	LC/MS Neg	NA	HMDB52
compid_53	Lipid	Monoacylglycerol	53	LC/MS Neg	NA	HMDB53
compid_54	Lipid	Phosphatidylcholine (PC)	54	LC/MS Pos Late	NA	HMDB54
compid_55	Lipid	Lysophospholipid	55	LC/MS Pos Late	NA	HMDB55
compid_56	Lipid	Monoacylglycerol	56	LC/MS Neg	NA	HMDB56
compid_57	Lipid	Phosphatidylcholine (PC)	57	LC/MS Pos Late	NA	HMDB57
compid_58	Lipid	Phosphatidylethanolamine (PE)	58	LC/MS Pos Late	NA	HMDB58
compid_59	Lipid	Phosphatidylinositol (PI)	59	LC/MS Pos Late	NA	HMDB59
compid_60	Lipid	Phosphatidylcholine (PC)	60	LC/MS Pos Late	NA	NA
compid_61	Lipid	Phosphatidylcholine (PC)	61	LC/MS Pos Late	NA	HMDB61
compid_62	Lipid	Phosphatidylethanolamine (PE)	62	LC/MS Pos Late	NA	HMDB62
compid_63	Lipid	Phosphatidylcholine (PC)	63	LC/MS Pos Late	NA	HMDB63
compid_64	Lipid	Phosphatidylethanolamine (PE)	64	LC/MS Pos Late	NA	HMDB64
compid_65	Lipid	Phosphatidylinositol (PI)	65	LC/MS Pos Late	NA	HMDB65
compid_66	Lipid	Phosphatidylcholine (PC)	66	LC/MS Pos Late	NA	HMDB66
compid_67	Lipid	Phosphatidylethanolamine (PE)	67	LC/MS Pos Late	NA	HMDB67
compid_68	Lipid	Phosphatidylinositol (PI)	68	LC/MS Pos Late	NA	HMDB68
compid_69	Lipid	Phosphatidylcholine (PC)	69	LC/MS Pos Late	NA	HMDB69
compid_70	Lipid	Phosphatidylcholine (PC)	70	LC/MS Pos Late	NA	HMDB70
compid_71	Lipid	Lysophospholipid	71	LC/MS Pos Late	C04036	HMDB71
compid_72	Lipid	Lysophospholipid	72	LC/MS Pos Late	NA	HMDB72
compid_73	Lipid	Lysophospholipid	73	LC/MS Pos Late	NA	HMDB73
compid_74	Lipid	Lysophospholipid	74	LC/MS Neg	NA	NA
compid_75	Lipid	Lysophospholipid	75	LC/MS Neg	NA	HMDB75
compid_76	Lipid	Monoacylglycerol	76	LC/MS Neg	NA	HMDB76
compid_77	Lipid	Monoacylglycerol	77	LC/MS Neg	NA	NA
compid_78	Amino Acid	Histidine Metabolism	78	LC/MS Pos Early	C05131	HMDB78
compid_79	Lipid	Phosphatidylcholine (PC)	79	LC/MS Pos Late	NA	HMDB79
compid_80	Lipid	Phosphatidylethanolamine (PE)	80	LC/MS Pos Late	NA	HMDB80
compid_81	Lipid	Phosphatidylinositol (PI)	81	LC/MS Pos Late	NA	HMDB81
compid_82	Lipid	Phosphatidylcholine (PC)	82	LC/MS Pos Late	NA	HMDB82
compid_83	Lipid	Phosphatidylethanolamine (PE)	83	LC/MS Pos Late	NA	HMDB83
compid_84	Lipid	Phosphatidylcholine (PC)	84	LC/MS Pos Late	NA	HMDB84
compid_85	Lipid	Phosphatidylethanolamine (PE)	85	LC/MS Pos Late	NA	HMDB85
compid_86	Lipid	Phosphatidylinositol (PI)	86	LC/MS Pos Late	NA	HMDB86
compid_87	Lipid	Phosphatidylcholine (PC)	87	LC/MS Pos Late	NA	HMDB87
compid_88	Lipid	Phosphatidylethanolamine (PE)	88	LC/MS Pos Late	NA	HMDB88
compid_89	Lipid	Phosphatidylinositol (PI)	89	LC/MS Pos Late	NA	NA
compid_90	Lipid	Phosphatidylserine (PS)	90	LC/MS Pos Late	NA	HMDB90
compid_91	Lipid	Lysophospholipid	91	LC/MS Pos Late	NA	HMDB91
compid_92	Lipid	Lysophospholipid	92	LC/MS Pos Late	NA	HMDB92
compid_93	Lipid	Lysophospholipid	93	LC/MS Neg	NA	NA
compid_94	Lipid	Lysophospholipid	94	LC/MS Neg	NA	HMDB94
compid_95	Lipid	Lysophospholipid	95	LC/MS Neg	NA	NA
compid_96	Lipid	Long Chain Fatty Acid	96	LC/MS Neg	NA	HMDB96
compid_97	Lipid	Long Chain Fatty Acid	97	LC/MS Neg	NA	HMDB97
compid_98	Lipid	Medium Chain Fatty Acid	98	LC/MS Neg	C13910	HMDB98
compid_99	Lipid	Eicosanoid	99	LC/MS Neg	NA	HMDB99
compid_100	Lipid	Eicosanoid	100	LC/MS Neg	C20388	HMDB100
compid_101	Lipid	Fatty Acid, Monohydroxy	101	LC/MS Neg	NA	NA
compid_102	Lipid	Fatty Acid, Monohydroxy	102	LC/MS Neg	NA	NA
compid_103	Lipid	Fatty Acid, Branched	103	LC/MS Neg	NA	NA
compid_104	Lipid	Fatty Acid, Monohydroxy	104	LC/MS Neg	C18218	HMDB104
compid_105	Lipid	Androgenic Steroids	105	LC/MS Neg	NA	NA
compid_106	Lipid	Fatty Acid, Branched	106	LC/MS Neg	NA	HMDB106
compid_107	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	107	LC/MS Neg	C05512	HMDB107
compid_108	Nucleotide	Pyrimidine Metabolism, Uracil containing	108	LC/MS Neg	C00526	HMDB108
compid_109	Nucleotide	Pyrimidine Metabolism, Cytidine containing	109	LC/MS Pos Early	NA	NA
compid_110	Nucleotide	Pyrimidine Metabolism, Uracil containing	110	LC/MS Neg	NA	NA
compid_111	Amino Acid	Leucine, Isoleucine and Valine Metabolism	111	LC/MS Neg	NA	HMDB111
compid_112	Amino Acid	Lysine Metabolism	112	LC/MS Neg	C00956	HMDB112
compid_113	Amino Acid	Glutathione Metabolism	113	LC/MS Pos Early	C02261	HMDB113
compid_114	Lipid	Fatty Acid, Amino	114	LC/MS Pos Early	NA	NA
compid_115	Lipid	Fatty Acid, Amino	115	LC/MS Neg	NA	HMDB115
compid_116	Lipid	Monoacylglycerol	116	LC/MS Neg	C13856	HMDB116
compid_117	Amino Acid	Leucine, Isoleucine and Valine Metabolism	117	LC/MS Neg	NA	HMDB117
compid_118	Lipid	Fatty Acid, Monohydroxy	118	LC/MS Neg	NA	NA
compid_119	Lipid	Fatty Acid, Monohydroxy	119	LC/MS Neg	NA	NA
compid_120	Amino Acid	Glutathione Metabolism	120	LC/MS Polar	NA	NA
compid_121	Lipid	Fatty Acid, Monohydroxy	121	LC/MS Neg	NA	NA
compid_122	Lipid	Fatty Acid, Dicarboxylate	122	LC/MS Pos Early	C02630	HMDB122
compid_123	Lipid	Fatty Acid, Monohydroxy	123	LC/MS Polar	NA	NA
compid_124	Lipid	Fatty Acid, Monohydroxy	124	LC/MS Neg	NA	NA
compid_125	Lipid	Fatty Acid, Monohydroxy	125	LC/MS Neg	NA	NA
compid_126	Lipid	Fatty Acid, Monohydroxy	126	LC/MS Neg	NA	HMDB126
compid_127	Lipid	Fatty Acid, Monohydroxy	127	LC/MS Neg	NA	HMDB127
compid_128	Lipid	Fatty Acid, Monohydroxy	128	LC/MS Neg	C03045	NA
compid_129	Lipid	Monoacylglycerol	129	LC/MS Neg	NA	HMDB129
compid_130	Amino Acid	Leucine, Isoleucine and Valine Metabolism	130	LC/MS Pos Early	NA	HMDB130
compid_131	Amino Acid	Leucine, Isoleucine and Valine Metabolism	131	LC/MS Pos Early	NA	HMDB131
compid_132	Energy	TCA Cycle	132	LC/MS Neg	NA	NA
compid_133	Lipid	Fatty Acid Synthesis	133	LC/MS Pos Early	NA	HMDB133
