samids	neg	pos	run_day	box_id	lot
ind1	batch1	batch1	day1	box1	lot250
ind2	batch1	batch1	day1	box1	lot250
ind3	batch1	batch1	day1	box1	lot250
ind4	batch1	batch1	day1	box1	lot250
ind5	batch1	batch1	day1	box1	lot250
ind6	batch1	batch1	day1	box1	lot250
ind7	batch1	batch1	day1	box1	lot250
ind8	batch1	batch1	day1	box1	lot250
ind9	batch1	batch1	day1	box1	lot250
ind10	batch1	batch1	day1	box1	lot250
ind11	batch1	batch1	day1	box1	lot250
ind12	batch1	batch1	day1	box1	lot250
ind13	batch1	batch1	day1	box1	lot250
ind14	batch1	batch1	day1	box1	lot250
ind15	batch1	batch1	day1	box1	lot250
ind16	batch1	batch1	day1	box1	lot250
ind17	batch1	batch1	day1	box1	lot250
ind18	batch1	batch1	day1	box1	lot250
ind19	batch1	batch1	day1	box1	lot250
ind20	batch1	batch1	day1	box1	lot250
ind21	batch1	batch1	day1	box1	lot250
ind22	batch1	batch1	day1	box1	lot250
ind23	batch1	batch1	day1	box1	lot250
ind24	batch1	batch1	day1	box1	lot250
ind25	batch1	batch1	day1	box1	lot250
ind26	batch1	batch1	day1	box1	lot250
ind27	batch1	batch1	day1	box1	lot250
ind28	batch1	batch1	day1	box1	lot250
ind29	batch1	batch1	day1	box1	lot250
ind30	batch1	batch1	day1	box1	lot250
ind31	batch1	batch1	day1	box1	lot250
ind32	batch1	batch1	day1	box1	lot250
ind33	batch1	batch1	day1	box2	lot250
ind34	batch1	batch1	day1	box2	lot250
ind35	batch1	batch1	day1	box2	lot250
ind36	batch1	batch1	day1	box2	lot250
ind37	batch1	batch1	day1	box2	lot250
ind38	batch1	batch1	day1	box2	lot250
ind39	batch1	batch1	day1	box2	lot250
ind40	batch1	batch1	day1	box2	lot250
ind41	batch1	batch1	day1	box2	lot250
ind42	batch1	batch1	day1	box2	lot250
ind43	batch1	batch1	day1	box2	lot250
ind44	batch1	batch1	day1	box2	lot250
ind45	batch1	batch1	day1	box2	lot250
ind46	batch1	batch1	day1	box2	lot250
ind47	batch1	batch1	day1	box2	lot250
ind48	batch1	batch1	day1	box2	lot250
ind49	batch1	batch1	day1	box2	lot250
ind50	batch1	batch1	day1	box2	lot250
ind51	batch2	batch2	day2	box2	lot250
ind52	batch2	batch2	day2	box2	lot250
ind53	batch2	batch2	day2	box2	lot250
ind54	batch2	batch2	day2	box2	lot250
ind55	batch2	batch2	day2	box2	lot250
ind56	batch2	batch2	day2	box2	lot250
ind57	batch2	batch2	day2	box2	lot250
ind58	batch2	batch2	day2	box2	lot250
ind59	batch2	batch2	day2	box2	lot250
ind60	batch2	batch2	day2	box2	lot250
ind61	batch2	batch2	day2	box2	lot250
ind62	batch2	batch2	day2	box2	lot250
ind63	batch2	batch2	day2	box2	lot250
ind64	batch2	batch2	day2	box2	lot250
ind65	batch2	batch2	day2	box2	lot250
ind66	batch2	batch2	day2	box2	lot250
ind67	batch2	batch2	day2	box3	lot250
ind68	batch2	batch2	day2	box3	lot250
ind69	batch2	batch2	day2	box3	lot250
ind70	batch2	batch2	day2	box3	lot250
ind71	batch2	batch2	day2	box3	lot250
ind72	batch2	batch2	day2	box3	lot250
ind73	batch2	batch2	day2	box3	lot250
ind74	batch2	batch2	day2	box3	lot250
ind75	batch2	batch2	day2	box3	lot250
ind76	batch2	batch3	day2	box3	lot250
ind77	batch2	batch3	day2	box3	lot250
ind78	batch2	batch3	day2	box3	lot250
ind79	batch2	batch3	day2	box3	lot250
ind80	batch2	batch3	day2	box3	lot250
ind81	batch2	batch3	day2	box3	lot250
ind82	batch2	batch3	day2	box3	lot250
ind83	batch2	batch3	day2	box3	lot250
ind84	batch2	batch3	day2	box3	lot250
ind85	batch2	batch3	day2	box3	lot250
ind86	batch2	batch3	day2	box3	lot250
ind87	batch2	batch3	day2	box3	lot250
ind88	batch2	batch3	day2	box3	lot250
ind89	batch2	batch3	day2	box3	lot250
ind90	batch2	batch3	day2	box3	lot250
ind91	batch2	batch3	day2	box3	lot250
ind92	batch2	batch3	day2	box3	lot250
ind93	batch2	batch3	day2	box3	lot250
ind94	batch2	batch3	day2	box3	lot250
ind95	batch2	batch3	day2	box3	lot250
ind96	batch2	batch3	day2	box3	lot250
ind97	batch2	batch3	day2	box3	lot250
ind98	batch2	batch3	day2	box3	lot250
ind99	batch2	batch3	day2	box3	lot250
ind100	batch2	batch3	day2	box3	lot250
