pc	value
PC1	0.13447
PC2	0.09142
PC3	0.04382
PC4	0.0415
PC5	0.03483
PC6	0.03301
PC7	0.03145
PC8	0.02894
PC9	0.02783
PC10	0.02711
PC11	0.02523
PC12	0.02443
PC13	0.02376
PC14	0.02217
PC15	0.02036
PC16	0.01957
PC17	0.01889
PC18	0.01763
PC19	0.01722
PC20	0.01658
PC21	0.01531
PC22	0.01496
PC23	0.01436
PC24	0.01366
PC25	0.01314
PC26	0.01236
PC27	0.01211
PC28	0.01167
PC29	0.01112
PC30	0.0108
PC31	0.01
PC32	0.00973
PC33	0.00928
PC34	0.00859
PC35	0.00826
PC36	0.00762
PC37	0.00727
PC38	0.00709
PC39	0.0069
PC40	0.00623
PC41	0.00591
PC42	0.00576
PC43	0.00539
PC44	0.00502
PC45	0.00469
PC46	0.00439
PC47	0.00412
PC48	0.00412
PC49	0.00384
PC50	0.00382
PC51	0.00357
PC52	0.00329
PC53	0.00299
PC54	0.00271
PC55	0.00261
PC56	0.0025
PC57	0.00237
PC58	0.00234
PC59	0.0022
PC60	0.00203
PC61	0.00185
PC62	0.0017
PC63	0.00157
PC64	0.0015
PC65	0.00141
PC66	0.00127
PC67	0.00102
PC68	0.00092
PC69	0.00083
PC70	0.00068
PC71	0.00064
PC72	0.00058
PC73	0.00051
PC74	4e-04
PC75	0.00033
PC76	0.00024
PC77	0.00017
